K,date,tickers,weight
11,2010-04-06,INTC,0.06534952250590392
11,2010-04-06,JPM,0.11115400400025262
11,2010-04-06,MRK,2.050045521689229e-08
11,2010-04-06,PG,4.6801762976367686e-08
11,2010-04-06,SO,3.640403698755681e-08
11,2010-07-06,AXP,0.3029375412127203
11,2010-07-06,BAC,0.060997284098330065
11,2010-07-06,BMY,3.541270679143578e-05
11,2010-07-06,CHTR,0.11140921142433619
11,2010-07-06,CVX,0.07319369023632388
11,2010-07-06,DUK,0.2026060937491016
11,2010-07-06,GILD,1.4587303651927754e-07
11,2010-07-06,HON,0.15209675558930064
11,2010-07-06,KO,0.09615532392288688
11,2010-07-06,MA,1.6186336095092848e-07
11,2010-07-06,UNH,0.0005683793238112664
11,2010-10-06,AMZN,0.1743151263280557
11,2010-10-06,CHTR,7.99547251123772e-08
11,2010-10-06,CVX,0.35843617391536636
11,2010-10-06,HD,0.09823830045131465
11,2010-10-06,MSFT,0.1012414856140963
11,2010-10-06,NFLX,0.012099587325435587
11,2010-10-06,RTX,0.09218702679731562
11,2010-10-06,SO,0.12205522639467001
11,2010-10-06,TSLA,4.9744165039654255e-05
11,2010-10-06,V,6.97214352312115e-08
11,2010-10-06,WFC,0.041377179332592245
11,2011-01-06,AAPL,0.22131823799642542
11,2011-01-06,AVGO,0.03763396598083284
11,2011-01-06,CAT,0.13338626618918312
11,2011-01-06,COP,0.11097726255638093
11,2011-01-06,JPM,0.17571261284651296
11,2011-01-06,MA,3.975274386905349e-09
11,2011-01-06,MRK,3.407670378536821e-09
11,2011-01-06,NFLX,0.05796044048917744
11,2011-01-06,NVDA,0.0824665040592608
11,2011-01-06,ORCL,0.11299725357527131
11,2011-01-06,RTX,0.06754744892401358
11,2011-04-06,AMZN,0.01990267278695336
11,2011-04-06,CL,4.464589538817317e-06
11,2011-04-06,HD,0.06119562138397409
11,2011-04-06,JPM,0.14733392807094167
11,2011-04-06,MSFT,3.1656725333719976e-07
11,2011-04-06,NEE,0.09481971809158588
11,2011-04-06,RTX,0.2187981671656404
11,2011-04-06,TMUS,0.13900310984433353
11,2011-04-06,UPS,1.2554065916059519e-06
11,2011-04-06,V,0.059472579766248555
11,2011-04-06,XOM,0.2594681663269343
11,2011-07-06,AAPL,0.20110353909321063
11,2011-07-06,CMCSA,0.060371492461262326
11,2011-07-06,CVX,2.9321741960490998e-05
11,2011-07-06,HD,0.00042033294684811016
11,2011-07-06,JPM,4.4670486606523e-06
11,2011-07-06,MA,0.13511283943209004
11,2011-07-06,MMM,0.15703048877217074
11,2011-07-06,MRK,0.16185059948910901
11,2011-07-06,NEE,0.17575197873311107
11,2011-07-06,UNH,0.10738040883560707
11,2011-07-06,UPS,0.0009445314459666735
11,2011-10-06,AAPL,2.3995103609855978e-06
11,2011-10-06,AMT,2.3591015617185423e-06
11,2011-10-06,AMZN,2.3904660690070637e-06
11,2011-10-06,BMY,2.4610920133827735e-06
11,2011-10-06,CSCO,2.653323486360477e-06
11,2011-10-06,IBM,2.237578872790403e-06
11,2011-10-06,MA,2.4951706376011896e-06
11,2011-10-06,NEE,2.393769333955732e-06
11,2011-10-06,QCOM,2.9514497409520394e-06
11,2011-10-06,TGT,2.495056819104935e-06
11,2011-10-06,XOM,0.9998476067992732
11,2012-01-06,AMZN,0.025144771606473534
11,2012-01-06,BIIB,0.08021824786026632
11,2012-01-06,DUK,3.577842703611912e-06
11,2012-01-06,GILD,0.0485917365905887
11,2012-01-06,HD,0.2668658321594024
11,2012-01-06,JPM,0.14991373380927822
11,2012-01-06,NFLX,0.0007122643655453559
11,2012-01-06,RTX,8.244042521550975e-06
11,2012-01-06,TXN,0.012306957870481966
11,2012-01-06,UPS,0.2610948450812138
11,2012-01-06,XOM,0.15513978877151313
11,2012-04-05,ADBE,0.11230758846100847
11,2012-04-05,CHTR,0.09678045693951688
11,2012-04-05,HD,0.5828607451082647
11,2012-04-05,HON,7.374942502048941e-07
11,2012-04-05,LLY,1.3777347224777333e-07
11,2012-04-05,MA,0.06748216447519173
11,2012-04-05,MMM,0.02184332304221101
11,2012-04-05,MS,0.06837531543942645
11,2012-04-05,NEE,0.03953347759076314
11,2012-04-05,T,0.010815914530848477
11,2012-04-05,XOM,1.3914504332543354e-07
11,2012-07-06,ADBE,0.12853274001229612
11,2012-07-06,AXP,0.2656458585837734
11,2012-07-06,C,0.002252189226779439
11,2012-07-06,CL,0.09357777846275188
11,2012-07-06,EXC,7.707401042011041e-07
11,2012-07-06,F,6.805253450244727e-05
11,2012-07-06,KO,0.11355861693991479
11,2012-07-06,MA,0.12642860834245875
11,2012-07-06,MMM,0.10425863920977801
11,2012-07-06,T,0.07692783252021759
11,2012-07-06,WMT,0.08874891342743865
11,2012-10-05,AMZN,2.3799275421688623e-05
11,2012-10-05,C,0.37351348063127654
11,2012-10-05,CL,1.321177509875271e-07
11,2012-10-05,FB,1.5278936272910965e-08
11,2012-10-05,MA,2.2788342107608883e-07
11,2012-10-05,MMM,2.4147982665464595e-07
11,2012-10-05,MRK,0.4302227217809182
11,2012-10-05,NEE,8.858148003004209e-07
11,2012-10-05,QCOM,0.19623796497855642
11,2012-10-05,T,4.2449912181485036e-07
11,2012-10-05,WFC,1.0625992579691183e-07
11,2013-01-07,CMCSA,0.1955631080049488
11,2013-01-07,EMR,0.1690306388958007
11,2013-01-07,FB,0.05277450077948444
11,2013-01-07,GD,0.04435099267356667
11,2013-01-07,IBM,0.11161693840960138
11,2013-01-07,JPM,0.13386213710848086
11,2013-01-07,MA,0.17677074233476534
11,2013-01-07,SBUX,0.02467147046957266
11,2013-01-07,SO,0.02769604114672209
11,2013-01-07,TMUS,0.0032062459046341626
11,2013-01-07,XOM,0.06045718427239782
11,2013-07-05,BLK,4.900660071200519e-05
11,2013-07-05,BRK-B,0.47143534872862375
11,2013-07-05,CL,0.00022347395101476918
11,2013-07-05,CSCO,0.06592827648550274
11,2013-07-05,CVX,0.25901840132782983
11,2013-07-05,GE,0.05856910619476928
11,2013-07-05,GILD,0.01641485909862918
11,2013-07-05,HON,0.010825709493879308
11,2013-07-05,SO,0.0613380464410808
11,2013-07-05,TMUS,0.005152950323125809
11,2013-07-05,TSLA,0.05104482135483153
11,2013-10-07,AMZN,0.12963888195825726
11,2013-10-07,BRK-B,3.845475225874645e-06
11,2013-10-07,CL,0.05225489518178502
11,2013-10-07,GD,0.2838725683281818
11,2013-10-07,GM,2.7937622922820544e-05
11,2013-10-07,MMM,0.40167534955567125
11,2013-10-07,MS,0.03277982349410693
11,2013-10-07,MSFT,0.031080501811576698
11,2013-10-07,SO,9.779089911456334e-07
11,2013-10-07,T,1.066502528265182e-06
11,2013-10-07,TSLA,0.06866415216075476
11,2014-01-06,AAPL,1.7539648619605019e-06
11,2014-01-06,AVGO,1.9376651571637817e-06
11,2014-01-06,BA,1.7844630863013893e-06
11,2014-01-06,BAC,1.7976616720594736e-06
11,2014-01-06,BLK,2.5781098987549266e-06
11,2014-01-06,CVS,1.9085776100350427e-06
11,2014-01-06,FDX,1.8287273332955915e-06
11,2014-01-06,GOOGL,2.0635346473359805e-06
11,2014-01-06,MA,1.9614240237179345e-06
11,2014-01-06,ORCL,0.9998673255776953
11,2014-01-06,TMUS,2.046200151225661e-06
